id,title,text,label
1,Global Hunger Index Shows Improvement in Food Security,"The latest Global Hunger Index indicates a 10% improvement in food security worldwide compared to five years ago. Increased agricultural productivity, improved logistics networks, and targeted food aid programs are credited with reducing chronic undernourishment in vulnerable regions.",REAL
2,Community Solar Program Brings Electricity to Remote Villages,"A community solar initiative has successfully connected 500 remote villages to electricity for the first time. The program uses small-scale solar panels and battery storage systems to provide reliable power for homes, schools, and health clinics in off-grid areas.",REAL
3,URGENT: 5G Towers Are Causing Bird Deaths and Human Illness,"New evidence shows that 5G cell towers are responsible for mass bird die-offs across the country and are causing symptoms like headaches, dizziness, and memory loss in nearby residents. A whistleblower engineer says the radiation levels far exceed safe limits. Big Telecom is bribing regulators to keep this silent.",FAKE
4,"BREAKING: Aliens Land in Texas, Government Covers It Up",Hundreds of witnesses reported seeing a massive UFO land near a small Texas town last night. Local officials quickly sealed off the area and military vehicles arrived within minutes. Eyewitnesses say men in black suits collected alien beings from the craft. The mainstream media is completely silent — ask yourself why.,FAKE
5,REVEALED: Chemtrails Are Dumping Toxic Chemicals to Control the Weather,A retired Air Force pilot has come forward to confirm that aircraft contrails are actually chemtrails — a secret program to spray toxic chemicals including barium and strontium to control weather patterns and population growth. Thousands of people have already been poisoned. The government refuses to comment.,FAKE
6,Ocean Cleanup Initiative Removes Thousands of Tons of Plastic,"An international ocean cleanup project has successfully removed over 100,000 tons of plastic waste from the Pacific Ocean over the past three years. The initiative uses a combination of autonomous vessels and barrier systems to collect and recycle ocean debris.",REAL
7,Parliament Passes Clean Energy Bill,The national parliament has approved a landmark clean energy bill requiring power companies to source 60% of their electricity from renewable sources by 2030. The legislation includes financial incentives for solar and wind installations and sets emissions reduction targets aligned with international climate agreements.,REAL
8,Scientists Map Full Human Brain Connectome,"A collaborative international research project has completed the first comprehensive map of all neural connections in a small section of the human brain. The connectome map, published in Nature, includes over 57,000 neurons and 150 million synapses and could advance understanding of neurological disorders.",REAL
9,New Law Strengthens Data Privacy Rights for Citizens,"Parliament has passed landmark data privacy legislation granting citizens the right to access, correct, and delete personal data held by corporations. The law imposes strict penalties on companies that misuse personal information and requires transparent data processing practices.",REAL
10,Community Solar Program Brings Electricity to Remote Villages,"A community solar initiative has successfully connected 500 remote villages to electricity for the first time. The program uses small-scale solar panels and battery storage systems to provide reliable power for homes, schools, and health clinics in off-grid areas.",REAL
11,Child Vaccination Campaign Reaches 95% Coverage,"A national vaccination campaign targeting children under the age of five has achieved 95% coverage across all districts, according to the Ministry of Health. The campaign included vaccines for measles, polio, and hepatitis B, and is expected to prevent thousands of deaths annually.",REAL
12,Study Shows Mediterranean Diet Reduces Heart Disease Risk,"A landmark study published in The Lancet confirms that adherence to a Mediterranean diet significantly reduces the risk of heart disease and stroke. The study followed 120,000 participants over 10 years and found a 25% lower incidence of cardiovascular events among those who followed the diet closely.",REAL
13,NASA Plans Mars Mission for 2035,NASA has officially confirmed plans for a crewed Mars mission targeting 2035. The agency is developing new life-support systems and propulsion technologies to support a six-month journey and a potential surface stay of up to 18 months. International partnerships with ESA and JAXA are also being explored.,REAL
